Name,RG
az6368lwebp1_dataDisk,chemenvmgmtsys_rg
az6368lwebp1_osDisk,chemenvmgmtsys_rg
az6578wappp1_dataDisk,exchange_rg
az6578wappp1_osDisk,exchange_rg
az6C69lappp1_dataDisk,licenseservers_rg
az6C69lappp1_osDisk,licenseservers_rg
az6C69wappp11_dataDisk,licenseservers_rg
az6C69wappp11_osDisk,licenseservers_rg
az6C69wappp13_dataDisk,licenseservers_rg
az6C69wappp13_osDisk,licenseservers_rg
az6C69wappp14_dataDisk,licenseservers_rg
az6C69wappp14_osDisk,licenseservers_rg
az6C69wappp16_dataDisk,licenseservers_rg
az6C69wappp16_osDisk,licenseservers_rg
az6C69wappp17_dataDisk,licenseservers_rg
az6C69wappp17_osDisk,licenseservers_rg
az6C69wappp1_dataDisk,licenseservers_rg
az6C69wappp1_osDisk,licenseservers_rg
az6C69wappp20_dataDisk,licenseservers_rg
az6C69wappp20_osDisk,licenseservers_rg
az6C69wappp22_dataDisk,licenseservers_rg
az6C69wappp22_osDisk,licenseservers_rg
az6C69wappp24_dataDisk,licenseservers_rg
az6C69wappp24_osDisk,licenseservers_rg
az6C69wappp25_dataDisk,licenseservers_rg
az6C69wappp25_osDisk,licenseservers_rg
az6C69wappp26_dataDisk,licenseservers_rg
az6C69wappp26_osDisk,licenseservers_rg
az6C69wappp28_dataDisk,licenseservers_rg
az6C69wappp28_osDisk,licenseservers_rg
az6C69wappp2_dataDisk,licenseservers_rg
az6C69wappp2_osDisk,licenseservers_rg
az6C69wappp30_dataDisk,licenseservers_rg
az6C69wappp30_osDisk,licenseservers_rg
az6C69wappp32_dataDisk,licenseservers_rg
az6C69wappp32_osDisk,licenseservers_rg
az6C69wappp33_dataDisk,licenseservers_rg
az6C69wappp33_osDisk,licenseservers_rg
az6C69wappp35_dataDisk,licenseservers_rg
az6C69wappp35_osDisk,licenseservers_rg
az6C69wappp3_dataDisk,licenseservers_rg
az6C69wappp3_osDisk,licenseservers_rg
az6C69wappp4_dataDisk,licenseservers_rg
az6C69wappp4_osDisk,licenseservers_rg
az6C69wappp5_dataDisk,licenseservers_rg
az6C69wappp5_osDisk,licenseservers_rg
az6C69wappp6_dataDisk,licenseservers_rg
az6C69wappp6_osDisk,licenseservers_rg
az6C69wappp8_dataDisk,licenseservers_rg
az6C69wappp8_osDisk,licenseservers_rg
az6C69wappp9_dataDisk,licenseservers_rg
az6C69wappp9_osDisk,licenseservers_rg
