Name,RG
az617Awappp1_dataDisk,azureadconnect_rg
az617Awappp1_osDisk,azureadconnect_rg
az6964lappp1_dataDisk,identitygovernance_rg
az6964lappp1_osDisk,identitygovernance_rg
az6964ldbp1_datadisk,identitygovernance_rg
az6964ldbp1_datadisk02,identitygovernance_rg
az6964ldbp1_datadisk03,identitygovernance_rg
az6964ldbp1_osDisk,identitygovernance_rg
az6967wappp1_dataDisk,igel_rg
az6967wappp1_osDisk,igel_rg
az7368lappp1_dataDisk,shibboleth_rg
az7368lappp1_osDisk,shibboleth_rg
az7368lappp2_dataDisk,shibboleth_rg
az7368lappp2_osDisk,shibboleth_rg
az7373lappp1_dataDisk,sspr_rg
az7373lappp1_osDisk,sspr_rg
az7373lappp2_dataDisk,sspr_rg
az7373lappp2_osDisk,sspr_rg
az7373lappp3_dataDisk,sspr_rg
az7373lappp3_osDisk,sspr_rg
azhwwapp02_disk1_26c82adfa3f441f1a613add693d9ff25,utarlingtonautomation-orchestrationrg
azwipamdb01_DataDisk_0,active-directory_rg
azwipamdb01_DataDisk_1,active-directory_rg
azwipamdb01_OsDisk_1_d0170a48b5f94273aab0f442c00ec9cc,active-directory_rg
