Name,RG
az4E65lappp1_osDisk,netperf_rg
azdcwapp01_OsDisk_1_b4ec10e96bd74d899c0e0c07e7eaaa0d,utarlingtonhubidentityresourcegroup
azdcwapp02_OsDisk_1_3210b687e2ea4967995e95ea4fa06381,utarlingtonhubidentityresourcegroup
azdnswapp01_DataDisk_0,dns_rg
azdnswapp01_OsDisk_1_888c9de13a214192a1af5e966c0108b4,dns_rg
azdnswapp02_DataDisk_0,dns_rg
azdnswapp02_OsDisk_1_da55caedebec4ff681f94b4dda08df54,dns_rg
azidmlapp01_datadisk1,utarlingtonhubidentityresourcegroup
azidmlapp01_OsDisk_1_1250338526,utarlingtonhubidentityresourcegroup
azidmlapp02_datadisk1,utarlingtonhubidentityresourcegroup
azidmlapp02_OsDisk_1_123450449,utarlingtonhubidentityresourcegroup
azidmlapp03_datadisk1,utarlingtonhubidentityresourcegroup
azidmlapp03_OsDisk_1_1860104633,utarlingtonhubidentityresourcegroup
azidmwapp01_DataDisk_0,utarlingtonhubidentityresourcegroup
azidmwapp02_DataDisk_0,utarlingtonhubidentityresourcegroup
